stimulus,word_index,word_index_in_sentence,word,sentence,surprisal,num_tokens
arg_pisacowsmilk_10_page_1,0,0,Laptele,Laptele de vacă - Introducere,1.2699314790694798,1
arg_pisacowsmilk_10_page_1,1,1,de,Laptele de vacă - Introducere,0.0021717108234155,1
arg_pisacowsmilk_10_page_1,2,2,vacă,Laptele de vacă - Introducere,2.826457506634774,1
arg_pisacowsmilk_10_page_1,3,3,-,Laptele de vacă - Introducere,0.9251936211409753,1
arg_pisacowsmilk_10_page_1,4,4,Introducere,Laptele de vacă - Introducere,10.857728374732057,1
arg_pisacowsmilk_10_page_1,5,0,În,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0180600779509276,1
arg_pisacowsmilk_10_page_1,6,1,anumite,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",3.071425603076932,1
arg_pisacowsmilk_10_page_1,7,2,"locuri,","În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",24.12705839608485,2
arg_pisacowsmilk_10_page_1,8,3,precum,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.9564463179680556,1
arg_pisacowsmilk_10_page_1,9,4,Statele,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0046830267529166,1
arg_pisacowsmilk_10_page_1,10,5,"Unite,","În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",17.40523792074795,2
arg_pisacowsmilk_10_page_1,11,6,a,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0123072275630086,1
arg_pisacowsmilk_10_page_1,12,7,bea,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",4.083206268070201,1
arg_pisacowsmilk_10_page_1,13,8,lapte,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0780851711421266,1
arg_pisacowsmilk_10_page_1,14,9,de,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0006324328151213,1
arg_pisacowsmilk_10_page_1,15,10,vacă,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",2.5075051001847712,1
arg_pisacowsmilk_10_page_1,16,11,este,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.6260789306845462,1
arg_pisacowsmilk_10_page_1,17,12,ceva,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.479997896943986,1
arg_pisacowsmilk_10_page_1,18,13,firesc.,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",13.823322810087427,2
arg_pisacowsmilk_10_page_1,19,0,Imaginează-ți,Imaginează-ți că trei tineri:,12.89315147775512,3
arg_pisacowsmilk_10_page_1,20,1,că,Imaginează-ți că trei tineri:,4.378829000548327,1
arg_pisacowsmilk_10_page_1,21,2,trei,Imaginează-ți că trei tineri:,6.446400233850271,1
arg_pisacowsmilk_10_page_1,22,3,tineri:,Imaginează-ți că trei tineri:,14.005811287411111,2
arg_pisacowsmilk_10_page_1,23,0,"Ana,","Ana, Chris și Sam sunt la o cafenea în SUA.",12.76582021420969,2
arg_pisacowsmilk_10_page_1,24,1,Chris,"Ana, Chris și Sam sunt la o cafenea în SUA.",7.245353854271587,1
arg_pisacowsmilk_10_page_1,25,2,și,"Ana, Chris și Sam sunt la o cafenea în SUA.",0.096297124981484,1
arg_pisacowsmilk_10_page_1,26,3,Sam,"Ana, Chris și Sam sunt la o cafenea în SUA.",7.550940420274898,1
arg_pisacowsmilk_10_page_1,27,4,sunt,"Ana, Chris și Sam sunt la o cafenea în SUA.",6.161686266057274,1
arg_pisacowsmilk_10_page_1,28,5,la,"Ana, Chris și Sam sunt la o cafenea în SUA.",0.0223119184060918,1
arg_pisacowsmilk_10_page_1,29,6,o,"Ana, Chris și Sam sunt la o cafenea în SUA.",0.062011855636913,1
