stimulus,subject_id,word_index,word_index_in_sentence,word_id,word,sentence_index,sentence_id,sentence,fixations_list,fixations_TRT,surprisal
arg_pisacowsmilk_10_page_1,8,0,0.0,arg_pisacowsmilk_10_page_1_0,Laptele,0.0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,"[197, 305]",502,
arg_pisacowsmilk_10_page_1,8,1,1.0,arg_pisacowsmilk_10_page_1_1,de,0.0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,[163],163,
arg_pisacowsmilk_10_page_1,8,2,2.0,arg_pisacowsmilk_10_page_1_2,vacă,0.0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,[],0,
arg_pisacowsmilk_10_page_1,8,3,3.0,arg_pisacowsmilk_10_page_1_3,-,0.0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,[],0,
arg_pisacowsmilk_10_page_1,8,4,4.0,arg_pisacowsmilk_10_page_1_4,Introducere,0.0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,"[258, 123]",381,
arg_pisacowsmilk_10_page_1,8,5,0.0,arg_pisacowsmilk_10_page_1_5,În,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,6,1.0,arg_pisacowsmilk_10_page_1_6,anumite,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,7,2.0,arg_pisacowsmilk_10_page_1_7,"locuri,",1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[208],208,
arg_pisacowsmilk_10_page_1,8,8,3.0,arg_pisacowsmilk_10_page_1_8,precum,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,9,4.0,arg_pisacowsmilk_10_page_1_9,Statele,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[248],248,
arg_pisacowsmilk_10_page_1,8,10,5.0,arg_pisacowsmilk_10_page_1_10,"Unite,",1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,11,6.0,arg_pisacowsmilk_10_page_1_11,a,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,12,7.0,arg_pisacowsmilk_10_page_1_12,bea,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,13,8.0,arg_pisacowsmilk_10_page_1_13,lapte,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,14,9.0,arg_pisacowsmilk_10_page_1_14,de,1.0,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
