stimulus,word_index,word_index_in_sentence,word_id,word,sentence_index,sentence_id,sentence,average_TRT
arg_pisacowsmilk_10_page_1,0,0,arg_pisacowsmilk_10_page_1_0,Laptele,0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,286.0
arg_pisacowsmilk_10_page_1,1,1,arg_pisacowsmilk_10_page_1_1,de,0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,142.0
arg_pisacowsmilk_10_page_1,2,2,arg_pisacowsmilk_10_page_1_2,vacă,0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,0.0
arg_pisacowsmilk_10_page_1,3,3,arg_pisacowsmilk_10_page_1_3,-,0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,0.0
arg_pisacowsmilk_10_page_1,4,4,arg_pisacowsmilk_10_page_1_4,Introducere,0,arg_pisacowsmilk_10_page_1_0,Laptele de vacă - Introducere,249.0
arg_pisacowsmilk_10_page_1,5,0,arg_pisacowsmilk_10_page_1_5,În,1,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",0.0
arg_pisacowsmilk_10_page_1,6,1,arg_pisacowsmilk_10_page_1_6,anumite,1,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",90.0
arg_pisacowsmilk_10_page_1,7,2,arg_pisacowsmilk_10_page_1_7,"locuri,",1,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",69.33333333333333
arg_pisacowsmilk_10_page_1,8,3,arg_pisacowsmilk_10_page_1_8,precum,1,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",111.33333333333333
arg_pisacowsmilk_10_page_1,9,4,arg_pisacowsmilk_10_page_1_9,Statele,1,arg_pisacowsmilk_10_page_1_1,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",82.66666666666667
